model,prompt,story_id,topic_switch_rate,n_sentences
llama4scout,large,7195,0.47034910213045344,6.0
llama4scout,large,7596,0.46708607226189286,8.0
llama4scout,large,7702,0.4593833401886026,5.0
llama4scout,large,8061,0.576043794667392,8.0
llama4scout,large,8085,0.5316589155700501,6.0
llama4scout,large,8154,0.4574817497673229,6.0
llama4scout,large,8551,0.5397048220785061,9.0
llama4scout,large,9334,0.3526889038281699,6.0
llama4scout,large,9418,0.259448372917069,7.0
llama4scout,large,9914,0.22443186700235046,7.0
llama4scout,large,10408,0.1993334779197722,6.0
llama4scout,large,10486,0.29936489059947613,6.0
llama4scout,large,10499,0.0059497155129214245,5.0
llama4scout,large,11260,0.45334532834645336,6.0
llama4scout,large,11340,0.10530121053038781,6.0
llama4scout,large,11457,0.48714433388052686,5.0
llama4scout,large,11541,0.09006075137147926,5.0
llama4scout,large,11543,0.06636877948483011,5.0
llama4scout,large,11678,0.5426911697905434,6.0
llama4scout,large,11719,0.29565743965292046,5.0
llama4scout,large,12358,0.29373704283320057,5.0
llama4scout,large,12423,0.3388330955318092,8.0
llama4scout,large,13596,0.17499419732072782,6.0
llama4scout,large,13683,0.13600686738536358,6.0
llama4scout,original,345,0.4024524715727654,5.0
llama4scout,original,515,0.2760384978117504,10.0
llama4scout,original,721,0.17091994238862518,5.0
llama4scout,original,723,0.2915371747853802,8.0
llama4scout,original,733,0.03331974432306471,2.0
llama4scout,original,948,0.09643672332146047,5.0
llama4scout,original,1111,0.10993805620339021,5.0
llama4scout,original,1201,0.09558859630456348,5.0
llama4scout,original,1214,0.34679732658234264,6.0
llama4scout,original,1467,0.11126872868366053,5.0
llama4scout,original,2400,0.5247609814791128,5.0
llama4scout,original,2702,0.11975768877986388,6.0
llama4scout,original,2722,0.15601002875202,5.0
llama4scout,original,2926,0.15901695386910647,5.0
llama4scout,original,3230,0.3750916129012209,5.0
llama4scout,original,3295,0.1761229862962816,5.0
llama4scout,original,3761,0.1571772979054524,5.0
llama4scout,original,3891,0.07595478079809079,5.0
llama4scout,original,4047,0.36593714127318344,8.0
llama4scout,original,4173,0.38936509334935765,8.0
llama4scout,original,4797,0.017341373704216956,5.0
llama4scout,original,5047,0.4509282738517425,5.0
llama4scout,original,5062,0.2460944542191113,5.0
llama4scout,original,5201,0.40581762458062115,8.0
llama4scout,original,5265,0.25225713486212,5.0
llama4scout,original,5349,0.6154905978963192,6.0
llama4scout,original,5540,0.5169967082226076,5.0
llama4scout,original,5721,0.14782158320840014,5.0
llama4scout,original,6111,0.08395357793893345,5.0
llama4scout,original,6215,0.01871309930059615,7.0
llama4scout,original,6729,0.4346497514003941,7.0
llama4scout,original,6847,0.1268783050747528,5.0
llama4scout,original,6878,0.045027476180320394,5.0
llama4scout,original,6921,0.16038427454080917,7.0
llama4scout,original,7065,0.287418150807234,5.0
llama4scout,original,7150,0.2373433577755279,5.0
llama4scout,original,7195,0.09643672332146047,5.0
llama4scout,original,7596,0.10979558689292697,6.0
llama4scout,original,7702,0.5657853928202947,5.0
llama4scout,original,8061,0.31208444815357894,8.0
llama4scout,original,8085,0.4172840974988503,6.0
llama4scout,original,8154,0.08721525639493657,6.0
llama4scout,original,8551,0.5159200966662036,8.0
llama4scout,original,9334,0.19274966458805656,6.0
llama4scout,original,9418,0.18869881390584656,7.0
llama4scout,original,9914,0.5279103113528447,5.0
llama4scout,original,10408,0.38565092883469326,6.0
llama4scout,original,10486,0.11308736069685488,6.0
llama4scout,original,10499,0.44983568494220405,5.0
llama4scout,original,11260,0.09643672332146047,5.0
llama4scout,original,11340,0.11875738451440807,5.0
llama4scout,original,11457,0.46493231096124077,5.0
llama4scout,original,11541,0.051464614229656855,5.0
llama4scout,original,11543,0.005500422592443728,5.0
llama4scout,original,11678,0.4594292333749281,5.0
llama4scout,original,11719,0.5909423493819148,5.0
llama4scout,original,12358,0.41427798065086474,5.0
llama4scout,original,12423,0.31339488196442106,6.0
llama4scout,original,13596,0.28671402336285073,5.0
llama4scout,original,13683,0.28187844381758675,6.0
qwen3vl,large,345,0.13004091070041396,5.0
qwen3vl,large,515,0.3547708815874337,9.0
qwen3vl,large,721,0.4828422725054873,5.0
qwen3vl,large,723,0.47793429279000454,9.0
qwen3vl,large,733,0.10601062183547823,6.0
qwen3vl,large,948,0.055470725126077744,5.0
qwen3vl,large,1111,0.3125890298220777,5.0
qwen3vl,large,1201,0.5100278367247906,5.0
qwen3vl,large,1214,0.4671497179547419,6.0
qwen3vl,large,1467,0.0970861165931077,5.0
qwen3vl,large,2400,0.23232622718918106,5.0
qwen3vl,large,2702,0.05408286470970475,6.0
qwen3vl,large,2722,0.15163351972287514,5.0
qwen3vl,large,2926,0.49743034653845275,5.0
qwen3vl,large,3230,0.09818364495852125,5.0
