model,prompt,seed,story_id,character_name,CharTr,CharRe,char_coherence
human,large,seed44,5062,__NO_ANNOTATION__,,,
human,large,seed44,5047,__NO_ANNOTATION__,,,
human,large,seed44,4797,rene,0.0,0.0,0.0
human,large,seed44,4797,roger,0.0,0.0,0.0
human,large,seed44,4173,__NO_CHARACTER_MATCH__,,,
human,large,seed44,4047,__NO_ANNOTATION__,,,
human,large,seed44,3891,robert,0.0,0.0,0.0
human,large,seed44,3891,val,0.5,1.0,0.4999999950000001
human,large,seed44,3761,jeff,1.0,1.0,0.9999999900000002
human,large,seed44,3761,jim,1.0,1.0,0.9999999900000002
human,large,seed44,3295,dane,1.0,1.0,0.9999999900000002
human,large,seed44,3295,demi,0.5,0.5,0.9999999800000003
human,large,seed44,3230,jean,0.75,0.75,0.9999999866666668
human,large,seed44,3230,tom,1.0,1.0,0.9999999900000002
human,large,seed44,2926,charles,0.0,0.0,0.0
human,large,seed44,2926,jeff,0.75,0.75,0.9999999866666668
human,large,seed44,2926,jim,1.0,1.0,0.9999999900000002
human,large,seed44,2926,karen,0.0,0.0,0.0
human,large,seed44,2722,__NO_ANNOTATION__,,,
human,large,seed44,2702,ben,0.8,0.8,0.9999999875000001
human,large,seed44,2702,cameron,0.0,0.0,0.0
human,large,seed44,2400,audrey,0.5,0.5,0.9999999800000003
human,large,seed44,2400,cary,0.5,0.5,0.9999999800000003
human,large,seed44,2400,george,0.5,1.0,0.4999999950000001
human,large,seed44,2400,jacques,0.75,0.75,0.9999999866666668
human,large,seed44,2400,ned,0.0,0.0,0.0
human,large,seed44,1467,anthony,0.75,0.75,0.9999999866666668
human,large,seed44,1467,rosario,0.0,0.0,0.0
human,large,seed44,1214,__NO_CHARACTER_MATCH__,,,
human,large,seed44,1201,__NO_ANNOTATION__,,,
human,large,seed44,1111,__NO_ANNOTATION__,,,
