model,prompt,seed,story_id,num_chains,avg_chain_size,coref_ratio
internvl3,original,42,515,8,2.875,0.3442679766686569
internvl3,original,42,11719,7,7.428571428571429,0.7855530778074692
internvl3,original,42,11543,5,3.4,0.5906363091998973
internvl3,original,42,345,7,4.428571428571429,0.5592564348363973
internvl3,original,42,11340,6,5.166666666666667,0.6960918947706721
internvl3,original,42,12423,6,5.5,0.7235908405593221
internvl3,original,42,5201,7,3.142857142857143,0.42053279340106575
internvl3,original,42,723,5,7.0,0.8847461328637138
internvl3,original,42,9914,7,5.857142857142857,0.6834400870560381
internvl3,original,42,2702,7,3.857142857142857,0.500695837915262
internvl3,original,42,9418,7,6.142857142857143,0.7045604551402622
internvl3,original,42,8061,6,5.666666666666667,0.7365394569289215
internvl3,original,42,9334,6,7.5,0.8476993843927046
internvl3,original,42,5265,4,7.5,0.9536235050787859
internvl3,original,42,4797,7,4.428571428571429,0.5592564348363973
internvl3,original,42,5540,8,3.75,0.4367153108489706
internvl3,original,42,948,7,3.2857142857142856,0.4371630286577889
internvl3,original,42,7150,7,4.714285714285714,0.5866276548898999
internvl3,original,42,6921,5,8.6,0.9374483042619981
internvl3,original,42,6111,6,3.5,0.5243805889562654
internvl3,original,42,2722,7,7.285714285714286,0.7776239717434635
internvl3,original,42,12358,8,5.375,0.5856610836852646
internvl3,original,42,7065,7,7.571428571428571,0.7932323467023805
internvl3,original,42,7702,3,6.333333333333333,0.9706895565769862
internvl3,original,42,11260,11,3.6363636363636362,0.3187707832256003
internvl3,original,42,11457,11,3.272727272727273,0.2887943717865695
internvl3,original,42,4173,7,5.571428571428571,0.6611100463266596
internvl3,original,42,13683,9,4.555555555555555,0.46651849568592313
internvl3,original,42,7596,9,4.777777777777778,0.48559127633000954
internvl3,original,42,733,7,6.285714285714286,0.7146765836067003
internvl3,original,42,7195,5,8.0,0.9211864116892152
internvl3,original,42,10408,11,4.545454545454546,0.3908880577635153
internvl3,original,42,5349,12,3.5,0.2834447634278623
internvl3,original,42,8154,10,5.2,0.47729897621846734
internvl3,original,42,6215,7,6.0,0.6941496359503724
internvl3,original,42,2926,8,5.0,0.5540592114453677
internvl3,original,42,1467,4,3.75,0.7329915688790408
internvl3,original,42,5721,9,5.0,0.5042127000567824
internvl3,original,42,1214,5,5.6,0.806789922025664
internvl3,original,42,3295,4,5.5,0.8790497469034001
internvl3,original,42,5062,9,3.6666666666666665,0.38588435025437795
internvl3,original,42,11541,6,7.166666666666667,0.8313393309780901
internvl3,original,42,4047,7,8.285714285714286,0.8280764763159343
internvl3,original,42,10486,7,4.142857142857143,0.5306090197278226
internvl3,original,42,3230,8,6.5,0.6704089978322184
internvl3,original,42,11678,7,3.142857142857143,0.42053279340106575
internvl3,original,42,8551,3,2.3333333333333335,0.6499394116396263
internvl3,original,42,3891,7,4.428571428571429,0.5592564348363973
internvl3,original,42,6729,4,4.75,0.8288773922429453
internvl3,original,42,5047,8,5.0,0.5540592114453677
internvl3,original,42,10499,12,5.333333333333333,0.4170159899011177
internvl3,original,42,2400,11,5.090909090909091,0.43202976812080424
internvl3,original,42,721,7,5.285714285714286,0.6375439926172
internvl3,large,42,5062,8,4.125,0.4738172693763117
internvl3,large,42,10499,9,4.0,0.4169141953231067
internvl3,large,42,9914,5,4.8,0.743420937403751
internvl3,large,42,345,10,4.1,0.38812484618825505
internvl3,large,42,7195,5,5.0,0.7607546086956449
internvl3,large,42,5349,10,4.7,0.4378198649220604
internvl3,large,42,12423,8,4.25,0.48582949024120664
internvl3,large,42,1111,5,7.6,0.9081674793916036
internvl3,large,42,2722,6,3.5,0.5243805889562654
internvl3,large,42,10486,7,4.428571428571429,0.5592564348363973
internvl3,large,42,6847,6,6.666666666666667,0.8038014861305588
internvl3,large,42,515,9,5.777777777777778,0.5657587616675981
internvl3,large,42,6878,6,6.833333333333333,0.8133993691420995
internvl3,large,42,7065,4,7.0,0.940876806546837
internvl3,large,42,3891,6,3.6666666666666665,0.5441934667013559
internvl3,large,42,13683,7,3.857142857142857,0.500695837915262
internvl3,large,42,3295,7,4.857142857142857,0.599833913905728
internvl3,large,42,13596,4,5.0,0.8474072141058118
internvl3,large,42,8154,10,3.9,0.37102429945261917
internvl3,large,42,12358,8,5.375,0.5856610836852646
internvl3,large,42,1214,5,6.0,0.8329225598595321
internvl3,large,42,6111,8,5.5,0.5958202352150785
internvl3,large,42,5201,8,3.375,0.3980657062931662
