model,story_id,tc,ic,mcc_raw_char,MCC
claude45,13683,0.875,0.8958333333333334,0.41666666666666663,0.339866409614354
gpt4o,345,1.0,0.9,0.9,0.7128154631118069
gpt4o,515,1.0,0.7222222222222222,0.7222222222222222,0.6137627572113045
gpt4o,721,0.9,1.0,0.9,0.7054580087163325
gpt4o,723,0.8888888888888888,0.625,0.7361111111111112,0.6267898358136783
gpt4o,733,0.9166666666666667,0.8166666666666667,0.9,0.714748805761072
gpt4o,948,0.8666666666666667,0.7666666666666667,0.9,0.7054580087163325
gpt4o,1111,,,0.0,0.0
gpt4o,1201,,,0.0,0.0
gpt4o,1214,1.0,0.5,0.25,0.23105857863000487
gpt4o,1467,0.7,1.0,0.7,0.5707715591054949
gpt4o,2400,1.0,0.95,0.95,0.7363051152420693
gpt4o,2702,1.0,0.9,0.26666666666666666,0.221345590089283
gpt4o,2722,,,0.0,0.0
gpt4o,2926,1.0,0.9,0.36,0.2851261852447228
gpt4o,3230,0.5,0.75,0.25,0.1903985389889412
gpt4o,3295,1.0,0.9333333333333332,0.9333333333333332,0.7290750273931262
gpt4o,3761,1.0,0.9,0.9,0.7128154631118069
gpt4o,3891,0.9,1.0,0.9,0.7128154631118069
gpt4o,4047,,,0.0,0.0
gpt4o,4173,0.75,0.875,0.625,0.5486330548236485
gpt4o,4797,0.75,1.0,0.75,0.6118556566078873
gpt4o,5047,,,0.0,0.0
gpt4o,5062,,,0.0,0.0
gpt4o,5201,0.5964285714285714,0.6521428571428571,0.775,0.5977376143607831
gpt4o,5265,0.9,0.55,0.25999999999999995,0.22523078550557174
gpt4o,5349,1.0,0.8,0.8,0.6493218614769001
gpt4o,5540,,,0.0,0.0
gpt4o,5721,,,0.0,0.0
gpt4o,6111,0.8888888888888888,0.7555555555555555,0.6444444444444444,0.5675384858979519
gpt4o,6215,1.0,0.7083333333333333,0.7083333333333333,0.6089659488675987
gpt4o,6729,0.5758928571428571,0.8333333333333333,0.6273809523809524,0.5064280997398232
gpt4o,6847,1.0,0.9166666666666666,0.9166666666666666,0.7194457547662724
gpt4o,6878,1.0,0.6,0.6,0.5370495669980352
gpt4o,6921,0.7142857142857143,0.6111111111111112,0.4761904761904762,0.3973481038048017
gpt4o,7065,0.775,0.8,0.975,0.7506886036148845
gpt4o,7150,0.9166666666666666,0.9333333333333332,0.9833333333333334,0.7543237877285113
gpt4o,7195,0.75,0.6666666666666666,0.3333333333333333,0.29139147267395504
gpt4o,7596,0.5333333333333333,0.7,0.8333333333333333,0.6721885506518375
gpt4o,7702,0.875,1.0,0.3333333333333333,0.2538647186519216
gpt4o,8061,0.85,0.557142857142857,0.7071428571428572,0.6057546710340569
gpt4o,8085,0.9166666666666666,0.875,0.9583333333333334,0.741761064526366
gpt4o,8154,0.8333333333333333,0.95,0.85,0.6826141777354957
gpt4o,8551,,,0.0,0.0
gpt4o,9334,1.0,1.0,1.0,0.7615941559557649
gpt4o,9418,0.6666666666666666,0.75,0.611111111111111,0.48128531539797814
gpt4o,9914,0.8,0.8,0.6666666666666666,0.5077294373038432
gpt4o,10408,1.0,1.0,0.75,0.5711956169668236
gpt4o,10486,0.8333333333333333,0.875,0.9583333333333333,0.7429554210129468
gpt4o,10499,0.9166666666666666,0.75,0.5833333333333334,0.4655810361143507
gpt4o,11260,0.8888888888888888,0.9333333333333332,0.8222222222222223,0.6694712905238412
gpt4o,11340,0.9,1.0,0.26666666666666666,0.221345590089283
gpt4o,11457,,,0.0,0.0
gpt4o,11541,,,0.0,0.0
gpt4o,11543,,,0.0,0.0
gpt4o,11678,1.0,1.0,0.6666666666666666,0.5077294373038432
gpt4o,11719,1.0,0.625,0.625,0.5486330548236485
gpt4o,12358,,,0.0,0.0
gpt4o,12423,0.7388888888888889,0.8666666666666667,0.8722222222222222,0.6988065652544525
gpt4o,13596,1.0,1.0,1.0,0.7615941559557649
gpt4o,13683,0.9166666666666667,0.8958333333333334,0.4375,0.34918577708576304
human,345,0.875,0.9,0.975,0.7506886036148845
human,515,0.7999999999999999,0.7222222222222222,0.8111111111111112,0.6625849320709064
human,721,1.0,1.0,0.75,0.5711956169668236
human,723,0.8,0.625,0.825,0.6777821008468294
human,733,0.9166666666666667,0.8166666666666667,0.9,0.714748805761072
human,948,1.0,0.7666666666666667,0.3666666666666667,0.31170492890393975
human,1111,,,0.0,0.0
human,1201,,,0.0,0.0
human,1214,0.8333333333333334,0.5,0.3333333333333333,0.29139147267395504
human,1467,1.0,1.0,1.0,0.7615941559557649
human,2400,0.8875,0.95,0.76,0.5897638476270287
human,2702,1.0,0.9,0.26666666666666666,0.221345590089283
human,2722,,,0.0,0.0
human,2926,0.8333333333333333,0.9,0.3333333333333333,0.2727426715376309
human,3230,0.75,0.75,0.5,0.3807970779778824
human,3295,0.775,0.9333333333333332,0.5833333333333334,0.4655810361143507
human,3761,1.0,0.9,0.9,0.7128154631118069
human,3891,0.9,1.0,0.9,0.7128154631118069
human,4047,,,0.0,0.0
human,4173,0.5666666666666667,0.875,0.6416666666666666,0.5306478944028192
human,4797,1.0,1.0,0.5,0.3807970779778824
human,5047,,,0.0,0.0
human,5062,,,0.0,0.0
human,5201,0.7145833333333333,0.6521428571428571,0.5338095238095238,0.45963054182067903
human,5265,0.9,0.55,0.25999999999999995,0.22523078550557174
human,5349,0.8333333333333333,0.8,0.9666666666666667,0.7468691896538088
human,5540,,,0.0,0.0
human,5721,,,0.0,0.0
human,6111,0.8,0.7555555555555555,0.6666666666666666,0.5077294373038432
human,6215,0.7083333333333333,0.7083333333333333,1.0,0.7615941559557649
