model,prompt,story_id,groovist,MCC,mci_tanh_mcc_over_gv,mci_tanh_gv_over_mcc
gpt4o,original,4797,0.7746046155238074,0.6118556566078873,0.6583490638741507,0.8527077479005505
gpt4o,original,9418,0.447951161713898,0.4812853153979781,0.7911186691278123,0.7309383907092233
gpt4o,original,12358,0.3525261784256794,0.0,0.0,1.0
gpt4o,original,1467,0.3778858907101944,0.5707715591054949,0.9070159669734483,0.5797337078963601
gpt4o,original,3891,0.6285277459191018,0.7128154631118069,0.8124189745185976,0.7072968322271724
gpt4o,original,6111,0.4791623492008304,0.5675384858979519,0.8288461368123587,0.6880702634131335
gpt4o,original,12423,0.5854313084837556,0.6988065652544525,0.8317108563362117,0.6846201119525067
gpt4o,original,4047,0.4827885259111537,0.0,0.0,1.0
gpt4o,original,721,0.6434889617065523,0.7054580087163325,0.7991666239271581,0.7221662696765936
gpt4o,original,6878,0.4218893188723053,0.5370495669980352,0.8545987241158934,0.655891366030284
gpt4o,original,11340,0.6921754064686956,0.221345590089283,0.3093102497834464,0.9961628434303594
gpt4o,original,2926,0.6348925355356627,0.2851261852447228,0.4211536667490213,0.9769902825980771
gpt4o,original,723,0.6653695519055332,0.6267898358136783,0.7361478600125444,0.7862568539453617
gpt4o,original,4173,0.6427392325801029,0.5486330548236485,0.6929381066407839,0.8247615301950892
gpt4o,original,7596,0.4661691100871894,0.6721885506518375,0.894087860836053,0.6002317935700551
gpt4o,original,515,0.414626054859798,0.6137627572113045,0.9015204729283135,0.5886173410013494
gpt4o,original,11457,0.3732429599470063,0.0,0.0,1.0
gpt4o,original,733,0.6682717724670556,0.714748805761072,0.7892909011002872,0.7329046590998463
gpt4o,original,6847,0.5737095931719433,0.7194457547662724,0.8494082542761241,0.6625990713956764
gpt4o,original,8061,0.7057242678175991,0.6057546710340569,0.6954038205876797,0.8226733794180952
gpt4o,original,1201,0.6103033296251708,0.0,0.0,1.0
gpt4o,original,9914,0.6195753598454153,0.5077294373038432,0.674786585337538,0.8397386497191819
gpt4o,original,7702,0.4579592209939094,0.2538647186519216,0.5037652273355316,0.9472135194138305
gpt4o,original,5721,0.5206830931011235,0.0,0.0,1.0
gpt4o,original,5201,0.4946569924096907,0.5977376143607831,0.8361953062904989,0.6791575767017654
gpt4o,original,7065,0.4798068939137261,0.7506886036148845,0.9161567657612241,0.5643243932516739
gpt4o,original,5062,0.7345609662573047,0.0,0.0,1.0
gpt4o,original,11541,0.4093371489525077,0.0,0.0,1.0
gpt4o,original,3295,0.3293463216565658,0.7290750273931262,0.9763911552989394,0.42332144168269575
gpt4o,original,345,0.7344555118160725,0.7128154631118069,0.7489396967205747,0.774052099049732
gpt4o,original,6921,0.4688227422214133,0.3973481038048017,0.6897844360510546,0.8274134903520748
gpt4o,original,2702,0.767994179129189,0.221345590089283,0.28048884719402656,0.998064022908272
gpt4o,original,8551,0.450541313310878,0.0,0.0,1.0
gpt4o,original,1111,0.7485939548277918,0.0,0.0,1.0
gpt4o,original,9334,0.8788387904839643,0.7615941559557649,0.6996381708268228,0.8190571982532827
gpt4o,original,6215,0.6961765358227078,0.6089659488675987,0.7037689517295684,0.8154924830861136
gpt4o,original,7150,0.6955356645439732,0.7543237877285113,0.7948700339564528,0.7268729044581835
gpt4o,original,10408,0.4016629064962259,0.5711956169668236,0.8900314266767255,0.6063929591061861
gpt4o,original,10486,0.7619256360930804,0.7429554210129468,0.7509378827384726,0.7721107517102489
gpt4o,original,2722,0.6179942725933286,0.0,0.0,1.0
gpt4o,original,11678,0.4384384426353759,0.5077294373038432,0.820400229280255,0.6980707727687554
gpt4o,large,733,0.5402310910230548,0.7615941559557649,0.8874423543673492,0.6102643508742238
gpt4o,large,6111,0.6030354819079926,0.731138322242641,0.8374069299149636,0.6776684800019155
gpt4o,large,9418,0.5257658205847057,0.6988065652544525,0.8690344103170207,0.636564748294684
gpt4o,large,5349,0.6058414269381371,0.6493218614769001,0.7901266333304091,0.7320067738568119
gpt4o,large,721,0.555620477271589,0.7168913533038012,0.8591929511142329,0.6498513738900071
gpt4o,large,6921,0.3501853064920932,0.4375700331674351,0.8481541762817822,0.6642019003545245
gpt4o,large,11678,0.443844352485269,0.5077294373038432,0.8157351391495103,0.7034890988160961
